Desa;Kecamatan;KodePos
Angke;Tambora;11330
Cengkareng Barat;Cengkareng;11730
Cengkareng Timur;Cengkareng;11730
Duri Kepa;Kebon Jeruk;11510
Duri Kosambi;Cengkareng;11750
Duri Selatan;Tambora;11270
Duri Utara;Tambora;11270
Glodok;Taman Sari;11120
Grogol;Grogol Petamburan;11450
Jatipulo;Pal Merah (Palmerah);11430
Jelambar;Grogol Petamburan;11460
Jelambar Baru;Grogol Petamburan;11460
Jembatan Besi;Tambora;11320
Jembatan Lima;Tambora;11250
Joglo;Kembangan;11640
Kali Anyar;Tambora;11310
Kalideres;Kalideres;11840
Kamal;Cengkareng;11810
Kapuk;Kalideres;11720
Keagungan;Taman Sari;11130
